Befolkning,Alder,Alternativ,År
739776,80 år eller eldre,Hovedalternativ (MMM),2064
569576,0-9 år,Hovedalternativ (MMM),2065
593509,10-19 år,Hovedalternativ (MMM),2065
1349231,20-39 år,Hovedalternativ (MMM),2065
1439459,40-59 år,Hovedalternativ (MMM),2065
729736,60-69 år,Hovedalternativ (MMM),2065
696132,70-79 år,Hovedalternativ (MMM),2065
745840,80 år eller eldre,Hovedalternativ (MMM),2065
571327,0-9 år,Hovedalternativ (MMM),2066
590469,10-19 år,Hovedalternativ (MMM),2066
1351482,20-39 år,Hovedalternativ (MMM),2066
1433309,40-59 år,Hovedalternativ (MMM),2066
726158,60-69 år,Hovedalternativ (MMM),2066
702562,70-79 år,Hovedalternativ (MMM),2066
752800,80 år eller eldre,Hovedalternativ (MMM),2066
573208,0-9 år,Hovedalternativ (MMM),2067
587951,10-19 år,Hovedalternativ (MMM),2067
1352834,20-39 år,Hovedalternativ (MMM),2067
1426134,40-59 år,Hovedalternativ (MMM),2067
723611,60-69 år,Hovedalternativ (MMM),2067
708184,70-79 år,Hovedalternativ (MMM),2067
760995,80 år eller eldre,Hovedalternativ (MMM),2067
575142,0-9 år,Hovedalternativ (MMM),2068
586004,10-19 år,Hovedalternativ (MMM),2068
1353305,20-39 år,Hovedalternativ (MMM),2068
1419701,40-59 år,Hovedalternativ (MMM),2068
722052,60-69 år,Hovedalternativ (MMM),2068
711724,70-79 år,Hovedalternativ (MMM),2068
770007,80 år eller eldre,Hovedalternativ (MMM),2068
577030,0-9 år,Hovedalternativ (MMM),2069
584652,10-19 år,Hovedalternativ (MMM),2069
1352968,20-39 år,Hovedalternativ (MMM),2069
1412165,40-59 år,Hovedalternativ (MMM),2069
723361,60-69 år,Hovedalternativ (MMM),2069
711211,70-79 år,Hovedalternativ (MMM),2069
781802,80 år eller eldre,Hovedalternativ (MMM),2069
578796,0-9 år,Hovedalternativ (MMM),2070
583913,10-19 år,Hovedalternativ (MMM),2070
1351969,20-39 år,Hovedalternativ (MMM),2070
1404169,40-59 år,Hovedalternativ (MMM),2070
724852,60-69 år,Hovedalternativ (MMM),2070
710342,70-79 år,Hovedalternativ (MMM),2070
794603,80 år eller eldre,Hovedalternativ (MMM),2070
580356,0-9 år,Hovedalternativ (MMM),2071
583758,10-19 år,Hovedalternativ (MMM),2071
1350284,20-39 år,Hovedalternativ (MMM),2071
1397486,40-59 år,Hovedalternativ (MMM),2071
725496,60-69 år,Hovedalternativ (MMM),2071
708106,70-79 år,Hovedalternativ (MMM),2071
808773,80 år eller eldre,Hovedalternativ (MMM),2071
581643,0-9 år,Hovedalternativ (MMM),2072
584149,10-19 år,Hovedalternativ (MMM),2072
1347960,20-39 år,Hovedalternativ (MMM),2072
1392689,40-59 år,Hovedalternativ (MMM),2072
726971,60-69 år,Hovedalternativ (MMM),2072
704011,70-79 år,Hovedalternativ (MMM),2072
822561,80 år eller eldre,Hovedalternativ (MMM),2072
582610,0-9 år,Hovedalternativ (MMM),2073
585006,10-19 år,Hovedalternativ (MMM),2073
1345018,20-39 år,Hovedalternativ (MMM),2073
1388792,40-59 år,Hovedalternativ (MMM),2073
729106,60-69 år,Hovedalternativ (MMM),2073
699460,70-79 år,Hovedalternativ (MMM),2073
835707,80 år eller eldre,Hovedalternativ (MMM),2073
583203,0-9 år,Hovedalternativ (MMM),2074
586264,10-19 år,Hovedalternativ (MMM),2074
1341526,20-39 år,Hovedalternativ (MMM),2074
1386964,40-59 år,Hovedalternativ (MMM),2074
728702,60-69 år,Hovedalternativ (MMM),2074
696554,70-79 år,Hovedalternativ (MMM),2074
848108,80 år eller eldre,Hovedalternativ (MMM),2074
583412,0-9 år,Hovedalternativ (MMM),2075
587840,10-19 år,Hovedalternativ (MMM),2075
1337569,20-39 år,Hovedalternativ (MMM),2075
1385863,40-59 år,Hovedalternativ (MMM),2075
727590,60-69 år,Hovedalternativ (MMM),2075
694189,70-79 år,Hovedalternativ (MMM),2075
860291,80 år eller eldre,Hovedalternativ (MMM),2075
583221,0-9 år,Hovedalternativ (MMM),2076
589650,10-19 år,Hovedalternativ (MMM),2076
1333133,20-39 år,Hovedalternativ (MMM),2076
1385639,40-59 år,Hovedalternativ (MMM),2076
726184,60-69 år,Hovedalternativ (MMM),2076
691497,70-79 år,Hovedalternativ (MMM),2076
872543,80 år eller eldre,Hovedalternativ (MMM),2076
582640,0-9 år,Hovedalternativ (MMM),2077
591592,10-19 år,Hovedalternativ (MMM),2077
1328247,20-39 år,Hovedalternativ (MMM),2077
1386110,40-59 år,Hovedalternativ (MMM),2077
723204,60-69 år,Hovedalternativ (MMM),2077
689795,70-79 år,Hovedalternativ (MMM),2077
884978,80 år eller eldre,Hovedalternativ (MMM),2077
581684,0-9 år,Hovedalternativ (MMM),2078
593588,10-19 år,Hovedalternativ (MMM),2078
1323557,20-39 år,Hovedalternativ (MMM),2078
1388818,40-59 år,Hovedalternativ (MMM),2078
718229,60-69 år,Hovedalternativ (MMM),2078
689011,70-79 år,Hovedalternativ (MMM),2078
895877,80 år eller eldre,Hovedalternativ (MMM),2078
580395,0-9 år,Hovedalternativ (MMM),2079
595540,10-19 år,Hovedalternativ (MMM),2079
1319113,20-39 år,Hovedalternativ (MMM),2079
1392901,40-59 år,Hovedalternativ (MMM),2079
710357,60-69 år,Hovedalternativ (MMM),2079
690962,70-79 år,Hovedalternativ (MMM),2079
905127,80 år eller eldre,Hovedalternativ (MMM),2079
578830,0-9 år,Hovedalternativ (MMM),2080
